path	line	column	diagnostic
src/ra/abstract.h	63	3	constructor does not initialize these fields: IsActive
src/ra/abstract_type.cc	8	1	constructor does not initialize these fields: IniName
src/ra/bdata.cc	2827	1	constructor does not initialize these fields: Anims
src/ra/ccini.h	60	3	constructor does not initialize these fields: Digest
src/ra/cell.cc	168	1	constructor does not initialize these fields: Zones, Overlappers, Flag
src/ra/combuf.cc	79	1	constructor does not initialize these fields: DelaySum, NumDelay, MeanDelay, MaxDelay, SendCount, SendTotal, ReceiveCount, ReceiveTotal, DebugOffset, DebugSize, DebugNames, DebugNameStart, DebugNameCount
src/ra/connect.cc	87	1	constructor does not initialize these fields: NumRecNoAck, NumRecAck, NumSendNoAck, NumSendAck, LastSeqID, LastReadID
src/ra/coord.cc	47	3	uninitialized record type: 'left'
src/ra/coord.cc	48	3	uninitialized record type: 'top'
src/ra/coord.cc	49	3	uninitialized record type: 'right'
src/ra/coord.cc	50	3	uninitialized record type: 'bottom'
src/ra/coord.cc	237	3	uninitialized record type: 'cell'
src/ra/defines.h	323	3	uninitialized record type: 'target'
src/ra/defines.h	2816	8	constructor does not initialize these fields: Build
src/ra/dial8.cc	74	1	constructor does not initialize these fields: FacePoint, FaceLine
src/ra/dialog.cc	876	3	uninitialized record type: 'scheme'
src/ra/dialog.cc	922	3	uninitialized record type: 'scheme'
src/ra/edit.cc	37	1	constructor does not initialize these fields: EditFlags
src/ra/event.cc	164	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	188	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	196	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	218	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	236	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	263	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	288	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	318	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	355	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	388	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	418	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	445	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.cc	468	1	constructor does not initialize these fields: IsExecuted, Data
src/ra/event.h	246	3	constructor does not initialize these fields: Type, Frame, ID, IsExecuted, Data
src/ra/findpath.cc	468	3	uninitialized record type: 'pleft'
src/ra/findpath.cc	468	3	uninitialized record type: 'pright'
src/ra/foot.cc	144	1	constructor does not initialize these fields: NavQueue, Path
src/ra/foot.cc	428	7	uninitialized record type: 'path1'
src/ra/gadget.h	108	3	constructor does not initialize these fields: X, Y, Width, Height, IsToRepaint, IsSticky, IsDisabled, Flags
src/ra/goptions.h	75	3	constructor does not initialize these fields: OptionWidth, OptionHeight, OptionX, OptionY, ButtonWidth, OButtonHeight, CaptionYPos, ButtonY, Border1Len, Border2Len, ButtonResumeY
src/ra/hdata.cc	278	1	constructor does not initialize these fields: Suffix
src/ra/house.cc	635	1	constructor does not initialize these fields: IsActive, ZoneInfo, IniName, InitialName
src/ra/init.cc	2085	3	uninitialized record type: 'state'
src/ra/inline.h	157	3	uninitialized record type: 'coord'
src/ra/inline.h	235	3	uninitialized record type: 'cell'
src/ra/inline.h	257	3	uninitialized record type: 'lepton'
src/ra/inline.h	416	3	uninitialized record type: 'coord'
src/ra/inline.h	439	3	uninitialized record type: 'coord'
src/ra/inline.h	533	3	uninitialized record type: 'coord'
src/ra/inline.h	563	3	uninitialized record type: 'coord'
src/ra/inline.h	591	3	uninitialized record type: 'coord'
src/ra/ipxaddr.cc	77	1	constructor does not initialize these fields: NetworkNumber, NodeAddress
